0,13
1,1
2,1
10,3
19,10
20,13
21,3
22,9
23,7
28,32
29,38
32,9
34,5
35,5
36,9
37,17
38,18
39,23
46,87
47,196
48,110
49,46
56,6
57,4
60,4
61,65
62,3
64,20
65,5
66,10
67,7
70,34
71,18
74,32
75,30
76,2
77,5
82,20
83,19
88,22
90,1
91,15
92,6
93,6
96,29
97,71
98,22
99,92
100,57
101,5
102,2
104,115
105,45
108,33
109,2
110,24
116,1
117,2
118,1
140,1
141,1
142,38
143,44
146,1
147,9
149,1
153,1
158,51
159,4
160,8
162,77
163,1
166,178
167,3
178,1
179,6
182,1
184,94
185,4
186,77
187,4
190,27
191,1
193,1
194,2
198,4
199,3
200,10
201,3
203,1
204,1
212,103
213,36
214,130
215,154
216,33
217,1
218,68
219,29
220,7
221,2
224,1
225,15
228,11
229,76
230,53
231,57
232,22
233,22
234,6
235,7
236,6
238,133
239,119
244,56
245,84
250,35
251,3
254,8
258,7
259,7
260,16
261,35
266,72
267,13
268,19
269,12
270,10
271,7
272,74
273,50
274,32
275,45
276,5
277,11
278,66
279,45
282,37
283,9
286,5
287,8
288,1
290,44
291,83
294,45
295,27
296,16
297,140
298,63
299,155
300,121
301,46
304,16
305,5
306,20
307,53
308,66
309,77
310,2
311,7
312,11
313,2
318,79
319,5
320,53
321,61
322,6
323,8
324,10
325,20
328,4
329,12
330,19
331,11
334,13
335,6
344,21
345,88
346,177
347,197
348,3
349,2
352,7
353,15
354,223
355,167
366,2
367,2
373,2
376,8
377,1
384,43
385,11
386,7
387,5
388,43
389,27
399,5
400,3
401,5
412,44
413,52
416,40
417,27
418,24
419,24
420,3
421,12
424,111
425,51
426,92
427,60
430,3
431,3
432,4
433,1
438,56
439,36
440,51
441,34
442,16
443,15
444,24
445,6
446,42
447,19
448,56
449,21
450,13
451,10
452,88
453,110
454,138
455,159
460,30
461,14
462,32
463,44
466,79
467,56
468,5
469,13
470,48
471,20
474,6
475,19
476,39
477,31
478,68
479,41
480,38
481,40
484,10
485,9
486,47
487,92
488,3
489,22
496,75
497,54
498,91
499,110
500,77
501,70
502,38
503,11
505,5
508,2
509,8
511,1
512,49
513,38
522,59
523,101
524,12
525,20
526,88
527,60
528,5
532,16
533,19
534,5
535,22
544,3
545,1
550,44
551,76
552,43
553,80
558,64
559,92
562,1
563,23
564,38
565,81
566,66
567,123
570,69
571,80
572,52
573,9
574,6
575,2
576,62
577,25
578,54
579,44
580,6
581,22
582,21
583,5
584,17
585,26
586,120
587,86
588,3
589,43
592,9
593,27
594,14
595,49
596,46
597,84
598,44
599,32
602,92
603,152
604,69
605,33
606,17
607,8
608,69
609,79
610,18
611,65
612,17
613,12
614,2
615,1
616,9
617,28
618,128
619,87
620,46
621,81
624,123
625,39
626,33
627,70
630,69
631,51
634,10
635,15
636,6
637,34
640,2
641,42
642,184
643,160
646,61
647,112
648,42
649,167
650,85
