id,其他,图书馆,开水,教务处,文印中心,校医院,校车,洗衣房,淋浴,超市,食堂,zongji,engeer
0,0.0,84.4,429.57999999999936,0.0,0.3,0.0,417.48999999999995,0.0,12.299999999999997,839.6799999999994,647.8100000000003,2431.559999999999,0.26641744394545086
1,0.0,324.2,265.97000000000025,29.3,96.4,0.0,119.39999999999998,25.02000000000001,22.500000000000014,514.3,1540.5999999999997,2937.6899999999996,0.5244256541704536
2,0.01,22.4,670.3599999999971,0.0,0.0,0.0,34.879999999999995,22.200000000000006,53.09999999999999,829.9499999999999,801.750000000001,2434.649999999998,0.3293081141026438
3,0.0,0.0,0.18000000000000002,0.0,0.0,0.0,0.0,7.620000000000001,34.60000000000001,0.0,0.0,42.400000000000006,0.0
8,0.0,425.8999999999999,2440.939999999988,0.0,2.6,0.0,2211.45,4.5,39.83000000000001,10.0,387.15,5522.369999999987,0.07010576980535548
9,122.26,113.72999999999999,4754.680000000016,0.0,294.40000000000003,0.0,158.1,23.82,36.32000000000001,0.0,1899.600000000001,7402.910000000016,0.2566017957803076
10,0.0,272.6000000000001,750.3399999999995,1.3,0.0,0.0,486.3,65.36,143.89999999999992,242.8,944.8399999999992,2907.4399999999987,0.3249731722752661
11,0.0,134.8,928.2099999999976,0.0,4.0,0.0,989.2499999999995,9.24,164.20000000000002,107.7,333.4,2670.799999999997,0.12483151115770569
16,0.0,38.82,914.8099999999989,0.0,5.0,3.0,291.6,0.0,48.00000000000002,14.0,109.85,1425.079999999999,0.07708339180958267
17,0.0,9.5,67.05,0.0,0.0,0.0,59.0,21.6,23.900000000000002,14.8,0.0,195.85,0.0
19,0.0,65.4,264.69000000000005,0.0,17.7,0.0,8.9,0.0,14.899999999999999,628.1599999999997,513.3100000000003,1513.06,0.3392529047096614
20,0.0,40.7,700.8599999999998,43.6,0.0,0.0,150.73,4.9,34.10000000000001,679.8000000000002,1354.9,3009.59,0.45019421250070607
21,0.0,96.0,288.51,0.0,0.0,0.0,209.5,0.0,13.0,356.1999999999999,622.55,1585.7599999999998,0.3925877812531531
22,0.0,294.1,1000.9499999999997,10.0,0.5,0.0,173.48999999999998,7.380000000000001,54.8,468.3,3074.36999999999,5083.889999999989,0.6047278757014798
23,0.0,70.3,1073.3899999999999,45.4,45.199999999999996,0.0,448.90000000000015,4.260000000000001,113.10000000000002,315.0999999999999,3304.849999999989,5420.499999999989,0.6096946776127655
28,0.0,292.49999999999994,509.8300000000003,4.53,2.8000000000000003,0.0,160.97999999999996,10.260000000000002,47.0,869.0999999999999,1244.5799999999995,3141.58,0.3961637138000622
29,3.0,155.6,178.54000000000002,13.2,7.25,0.0,123.55999999999999,10.8,24.8,273.79999999999995,952.23,1742.78,0.546385659693134
32,0.0,4.2,167.96999999999994,0.0,8.1,0.0,60.730000000000004,5.039999999999999,42.199999999999996,0.6,776.8500000000007,1065.6900000000007,0.7289643329673734
33,0.0,26.2,11.62,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,47.519999999999996,0.0
34,0.0,29.1,494.44999999999925,0.0,14.399999999999999,0.0,166.69999999999996,41.44000000000002,95.53999999999998,729.7999999999998,2325.589999999996,3897.019999999995,0.5967611149031822
35,0.0,117.5,427.24,0.0,44.55,0.0,202.39999999999995,18.180000000000003,111.98,997.7299999999999,1412.4699999999987,3332.0499999999984,0.4239042031182003
36,0.0,44.3,1149.480000000002,22.21,12.099999999999996,0.0,217.40999999999994,30.75999999999998,84.89000000000001,522.5600000000004,3013.239999999989,5096.949999999992,0.5911849243174828
37,0.0,266.40000000000003,1275.7999999999997,19.299999999999997,6.65,0.0,536.3000000000002,36.48000000000001,103.30000000000003,1187.4699999999998,2459.0999999999963,5890.799999999996,0.4174475453249131
38,0.0,232.60000000000002,490.41999999999763,128.03,0.0,0.0,62.9,67.08000000000007,229.59999999999985,2378.7799999999993,1374.7699999999986,4964.179999999996,0.2769379837153366
39,0.0,116.69999999999999,596.6200000000002,0.0,31.65,0.0,138.8,63.06000000000004,281.6999999999998,2850.1,1043.9500000000012,5122.580000000002,0.20379379140979756
46,0.0,79.2,894.8499999999999,11.0,33.0,0.0,608.0799999999997,79.24000000000002,75.10000000000004,831.1,3120.919999999998,5732.489999999998,0.5444265929814093
47,222.58,254.79999999999998,1045.7700000000002,6.4,68.0,0.0,1187.4999999999998,72.90000000000002,50.80000000000006,774.73,1712.2800000000004,5395.76,0.31733805803075016
48,0.0,133.20000000000002,1823.4399999999962,30.0,0.0,0.0,329.5800000000001,75.42000000000004,78.07999999999998,1297.899999999999,4033.5199999999863,7801.139999999981,0.5170423809853426
49,0.0,24.9,275.60999999999984,10.0,2.9,0.0,14.600000000000001,18.3,2.6,180.50000000000003,933.7900000000022,1463.200000000002,0.6381834335702576
56,0.0,161.3,149.5,0.0,98.39999999999999,0.0,19.1,0.0,0.0,74.7,399.8000000000001,902.8000000000002,0.44284448382809044
57,0.0,6.7,80.39999999999999,0.0,6.0,0.0,42.7,3.6,0.6,146.39999999999998,125.99999999999999,412.4,0.30552861299709017
60,0.29000000000000004,138.4,888.4900000000002,9.23,13.959999999999999,0.0,134.35999999999999,4.199999999999999,160.48999999999998,727.6199999999995,2626.2699999999895,4703.3099999999895,0.5583876036238299
61,0.0,80.3,831.8999999999987,0.0,58.25,0.0,414.2,13.320000000000004,184.4599999999998,1080.7200000000003,1813.5399999999936,4476.689999999992,0.40510734493565487
62,0.0,65.39999999999999,195.78,0.0,11.999999999999996,0.0,116.15,8.759999999999996,58.53999999999999,1046.0399999999997,1097.6200000000001,2600.29,0.4221144564644713
64,0.0,59.7,838.9499999999994,13.36,2.9300000000000006,0.0,169.88,43.64,77.82000000000001,355.0,2626.149999999998,4187.429999999997,0.6271507822220311
65,0.0,27.7,498.9200000000003,0.0,0.4,0.0,545.8000000000001,27.720000000000013,59.6,343.36000000000007,1871.1599999999994,3374.66,0.5544736358625756
66,7.500000000000001,80.50000000000001,1040.499999999995,0.0,0.45,0.0,87.30000000000001,1.32,221.99999999999932,757.1999999999998,1740.3400000000013,3937.109999999995,0.4420348936148605
67,0.0,133.4,645.4699999999981,12.0,80.05,0.0,1073.3999999999999,0.0,236.79999999999978,1645.6999999999998,566.8000000000001,4393.619999999997,0.12900523941533415
70,0.0,150.9,615.1099999999998,66.8,8.5,0.0,306.09999999999997,24.479999999999997,58.00000000000003,996.1000000000001,1649.2299999999993,3875.2199999999993,0.42558357977095485
71,0.0,84.2,99.96000000000002,0.0,0.15,0.0,82.95,37.2,39.2,288.2,823.8800000000002,1455.7400000000002,0.5659527113358155
72,2.3000000000000003,28.5,450.4299999999999,23.0,33.0,0.0,243.89999999999998,13.9,14.7,824.3999999999997,1057.1,2691.2299999999996,0.39279437283323987
73,0.0,7.0,78.16,11.0,0.0,0.0,117.6,0.0,14.3,200.90000000000003,528.0000000000001,956.9600000000002,0.5517471994649724
74,3.7,181.0,590.2000000000002,0.35,2.5999999999999996,0.0,403.1000000000001,16.86,13.899999999999999,1001.3,2066.4199999999946,4279.429999999995,0.48287271903033746
75,71.08,117.99999999999999,1108.2599999999986,0.0,1.95,0.0,1036.17,0.0,206.49999999999977,1050.6999999999998,1494.3699999999983,5087.029999999996,0.29376079952349393
76,0.8,281.40000000000003,223.97000000000025,0.0,4.699999999999999,0.0,73.46000000000001,30.899999999999995,33.199999999999996,3827.4000000000033,861.5000000000006,5337.3300000000045,0.16141029316156202
77,0.0,440.90000000000003,171.2199999999999,2.0,84.99999999999999,0.0,35.3,10.74,78.39999999999996,3624.2999999999993,295.44999999999993,4743.309999999999,0.062287727346515415
82,0.0,12.7,475.1599999999993,0.0,27.8,0.0,235.50000000000003,0.0,82.99,119.7,1044.68,1998.5299999999993,0.5227242022886824
83,15.0,95.0,563.3299999999999,12.0,44.550000000000004,0.0,262.97999999999996,7.5,63.00000000000002,437.86,681.4800000000004,2182.7000000000003,0.3122188115636598
88,0.0,459.59999999999985,612.5500000000003,86.2,0.9999999999999999,0.0,222.49999999999994,0.0,45.89999999999999,1139.4000000000003,3077.7499999999864,5644.899999999987,0.5452266647770543
89,0.0,3.9,394.69000000000017,0.0,3.0,0.0,674.8000000000002,0.0,42.40000000000001,789.0000000000001,658.7500000000005,2566.540000000001,0.2566685109135257
90,0.0,11.0,669.8500000000006,20.0,12.22,0.0,120.69999999999999,16.799999999999997,38.800000000000004,419.29999999999995,1734.4199999999928,3043.0899999999933,0.5699535669336091
91,0.0,28.7,151.55999999999997,0.0,0.0,0.0,237.69999999999996,19.8,38.9,193.39999999999998,568.6600000000002,1238.72,0.459070653577887
92,0.0,25.4,697.0300000000003,22.5,0.7,0.0,35.48,33.05999999999998,38.90000000000001,458.6,1738.4699999999984,3050.1399999999985,0.5699640016523829
93,0.0,139.5,788.2400000000002,8.5,9.25,0.0,349.4,55.74000000000002,197.59999999999994,1018.0400000000005,1786.6999999999975,4352.9699999999975,0.4104553902278211
96,0.0,312.59999999999997,751.17,0.0,153.5,0.0,264.81,0.0,55.5,845.6000000000004,1943.2699999999934,4326.449999999993,0.4491603970923035
97,0.0,457.00000000000017,502.64000000000084,0.0,26.45,0.0,309.1499999999999,28.800000000000004,44.300000000000004,1138.1999999999994,1913.3499999999976,4419.889999999998,0.4328953887992685
98,0.0,45.400000000000006,1513.6199999999963,10.0,13.899999999999999,0.0,84.86000000000001,9.6,36.49999999999999,784.2,1725.5899999999947,4223.669999999991,0.40855227799520283
99,7.0,253.50000000000009,1045.530000000002,0.0,32.99999999999999,0.0,463.2,24.060000000000006,61.80000000000001,1209.9300000000005,908.1600000000004,4006.1800000000026,0.22668976431413462
100,42.0,147.59999999999997,758.3500000000001,1.1,1.1,0.0,190.65999999999997,37.8,51.10000000000001,985.9000000000004,2368.7899999999963,4584.399999999997,0.5167066573597413
101,0.0,352.59999999999997,321.42000000000013,10.0,4.7,0.0,188.8,122.93999999999991,112.69999999999987,1621.5000000000007,3171.6299999999937,5906.2899999999945,0.5369919187848881
102,0.0,16.0,503.70000000000005,0.0,1.13,0.0,142.99999999999997,0.0,27.400000000000002,1402.5899999999995,1696.039999999996,3789.859999999996,0.4475204888834938
103,0.0,0.0,259.08999999999986,0.0,0.0,0.0,189.64999999999995,0.0,36.5,743.4999999999999,193.29999999999993,1422.0399999999997,0.13593147872071107
104,0.0,151.96000000000012,749.6099999999952,30.4,0.0,0.0,124.19999999999999,33.839999999999996,56.38,748.4,2354.4,4249.189999999995,0.554082072112568
105,0.0,421.5,686.4699999999966,25.0,85.05,0.0,1150.7,32.46000000000001,155.9999999999999,867.3000000000002,1258.8300000000013,4683.309999999998,0.26879066301397986
108,0.0,5.85,1052.589999999998,5.8,0.0,0.30000000000000004,118.77999999999999,18.659999999999993,5.3999999999999995,288.3,1686.5199999999948,3182.1999999999925,0.5299855445917915
109,0.0,47.05,2262.6699999999964,0.0,2.0,3.0,1473.2599999999975,42.90000000000001,214.39999999999986,17.5,501.14000000000027,4563.919999999995,0.10980472926782259
110,0.0,53.800000000000004,521.0899999999997,18.3,0.0,0.0,51.0,3.5999999999999996,19.400000000000006,1606.2000000000003,2107.4499999999966,4380.8399999999965,0.481060709818208
111,0.0,8.6,93.79999999999998,0.0,0.6,0.0,290.5,0.0,19.5,0.0,98.0,511.0,0.1917808219178082
112,1.8,32.1,1431.4299999999969,0.0,19.5,0.0,1066.3000000000009,0.0,54.59999999999998,31.5,392.7099999999999,3029.939999999998,0.1296098272573055
113,0.0,10.5,1185.8100000000009,0.0,0.3,0.0,273.65999999999997,18.0,199.36,84.5,375.9000000000001,2148.030000000001,0.17499755590005722
114,0.7,98.79999999999997,3889.3100000000036,11.0,141.02,0.0,2027.7099999999982,0.0,60.1,20.400000000000002,1149.74,7398.780000000002,0.15539588959260847
115,0.0,39.800000000000004,1895.939999999999,0.0,0.6,0.0,2656.7,109.79999999999994,182.01000000000008,56.599999999999994,760.8000000000011,5702.25,0.13342101801920314
116,0.8,269.3999999999999,2305.9799999999796,22.0,1.1,10.0,1109.5799999999995,0.0,102.00000000000003,52.50000000000001,520.85,4394.209999999979,0.11853097598885863
117,0.0,139.1,1524.659999999997,12.5,11.5,0.0,2229.9,66.12,318.78,339.2999999999999,585.5800000000004,5227.439999999997,0.11202041534670905
118,0.0,153.90000000000003,4283.8100000000295,0.0,7.8,0.0,984.26,11.9,153.1,0.0,503.2,6097.970000000029,0.08251926460772971
119,0.0,25.4,2729.1699999999914,15.0,3.0,0.0,655.4,48.30000000000002,115.7,183.8,635.8000000000003,4411.5699999999915,0.14412102720800113
120,0.5,96.89999999999999,3238.8700000000104,0.0,7.1,0.0,732.4699999999999,6.0,158.39999999999995,86.99999999999999,337.70000000000005,4664.94000000001,0.0723910704103374
121,0.0,148.32999999999998,4130.010000000006,0.0,54.1,10.0,513.4499999999998,113.09999999999994,264.59999999999997,133.1,934.0999999999995,6300.790000000005,0.14825125103360035
136,0.0,75.95,5262.440000000011,0.0,27.660000000000004,0.0,1115.2499999999998,6.0,167.0999999999999,48.6,170.42999999999995,6873.430000000011,0.02479548056792601
137,0.0,30.559999999999995,4728.9800000000805,0.0,4.0,0.0,1367.7999999999984,50.22000000000001,74.80000000000001,284.70000000000005,212.07999999999996,6753.140000000079,0.031404650281202144
138,0.0,93.79999999999995,3080.500000000005,0.0,0.0,3.0,1533.4899999999998,3.0,4.9,49.400000000000006,605.2499999999995,5373.340000000004,0.11263943841260726
139,0.0,311.8500000000001,2525.130000000001,0.0,22.8,1.0,1089.0499999999997,3.6,182.3599999999999,252.60000000000002,865.7199999999995,5254.11,0.16477005620361954
140,0.0,72.0,1427.5599999999995,0.0,32.0,0.0,1151.1000000000001,0.0,80.69999999999996,0.0,604.4,3367.7599999999998,0.17946647029479537
141,0.0,51.85,1015.3999999999993,20.0,0.0,0.0,442.0,0.0,439.18000000000023,1.0,410.3300000000002,2379.7599999999998,0.17242495041516803
142,4.0,28.900000000000002,477.7500000000001,41.0,24.9,0.0,230.6,7.319999999999999,78.5,606.2800000000001,1011.4099999999999,2510.66,0.40284626353229824
143,0.0,260.70000000000005,644.0699999999996,68.0,79.14999999999999,0.0,357.6000000000001,91.48,210.89999999999995,837.6999999999999,1806.1099999999994,4355.709999999999,0.4146534089735083
146,0.27,46.75,2993.2899999999895,20.0,18.2,0.0,666.7100000000003,0.0,111.32000000000015,138.95000000000002,178.49999999999997,4173.98999999999,0.0427648365233267
147,0.0,166.43,2394.329999999995,0.0,20.6,0.0,1177.7100000000003,36.00000000000001,81.73000000000002,89.83,351.0,4317.629999999996,0.08129459912035084
148,0.0,12.85,2464.829999999998,3.96,8.6,7.0,1810.56,18.0,169.4800000000001,3.4,451.7500000000002,4950.429999999998,0.09125469908674609
149,0.0,235.05,2111.869999999993,0.0,48.3,14.0,1335.8399999999997,14.4,50.55000000000002,8.0,699.4000000000002,4517.4099999999935,0.15482322835430062
152,14.0,20.700000000000003,3554.549999999988,0.0,0.0,0.0,1568.4099999999983,36.2,232.75999999999988,3.1,421.1500000000004,5850.869999999987,0.07198074816223934
153,243.82,151.00000000000003,3213.7599999999848,14.5,36.849999999999994,0.0,2206.7000000000003,0.0,186.38999999999984,87.19999999999999,716.4999999999999,6856.719999999984,0.10449602725501429
154,1.5,47.95,4516.520000000019,3.6,11.8,0.0,1046.4099999999999,17.0,59.51999999999996,229.20000000000016,277.44999999999993,6210.950000000018,0.044671105064442496
